candidate_k,k_offload,offload_fraction,potential,system_total_cost_normalized,mean_energy_mj_per_task_simulated,queue_delay_ms_per_offloaded_task,mean_queue_delay_ms_per_task,vram_load_gb_simulated,vram_load_fraction,memory_violation_simulated,is_psne,pareto_nondominated
47,47,0.47,239.7786998378042,240.14259927387903,231840.10848046877,213.69789507486024,100.43801068518431,9.54,0.59625,0,0,1
48,48,0.48,239.18364634337266,239.62313358952903,224820.11073437502,213.71150968591652,102.58152464923992,9.780000000000001,0.6112500000000001,0,0,1
49,49,0.49,238.6040937379184,239.11868049624198,221940.11313671875,213.72512603184663,104.72531175560485,9.98,0.62375,0,0,1
50,50,0.5,238.06385546666226,238.6852130759778,215640.11535937502,213.73874411298218,106.86937205649109,10.22,0.63875,0,0,1
51,51,0.51,237.52879658276674,238.25611605011628,213120.1176679688,213.75236392965493,109.01370560412401,10.42,0.65125,0,0,1
52,52,0.52,237.0143507131144,237.86554926192574,210600.1200117188,213.76598548219667,111.15831245074227,10.620000000000001,0.6637500000000001,0,0,1
53,53,0.53,236.50871339605357,237.5046995490192,208080.12236718752,213.77960877093926,113.30319264859781,10.82,0.67625,0,0,1
54,54,0.54,236.00620871454416,237.171375253215,205560.12472265624,213.79323379621468,115.44834624995593,11.02,0.68875,0,0,1
55,55,0.55,235.52135647503056,236.88415374911597,203220.12701953127,213.80686055835494,117.59377330709522,11.22,0.70125,0,0,1
56,56,0.56,235.05468482606273,236.64828739153396,201060.1292578125,213.8204890576922,119.73947387230766,11.420000000000002,0.7137500000000001,0,0,1
57,57,0.57,234.60010811686868,236.4921518560046,196380.13165625,213.8341192945587,121.88544799789845,11.64,0.7275,0,0,1
58,58,0.58,234.15215175751405,236.36360505774104,194400.13382421876,213.84775126928673,124.03169573618631,11.84,0.74,0,0,1
59,59,0.59,233.73099883877757,236.31518539856594,192060.13620312503,213.8613849822087,126.17821713950312,12.04,0.7525,0,0,1
60,60,0.6,233.3390999518062,236.45234968222758,187020.13838671878,213.875020433657,128.3250122601942,12.280000000000001,0.7675000000000001,0,0,1
61,61,0.61,232.96739267025728,236.60354306435843,184500.14061328128,213.88865762396432,130.47208115061824,12.48,0.78,0,0,1
62,62,0.62,232.62376564795173,236.8696436299638,182520.14291796877,213.90229655346317,132.61942386314718,12.68,0.7925,0,0,1
63,63,0.63,232.29518166111728,237.25186662943483,180360.14495703124,213.91593722248635,134.76704045016638,12.879999999999999,0.8049999999999999,0,0,1
64,64,0.64,232.0855772427452,238.61988953136648,174960.14732031248,213.92957963136666,136.91493096407467,13.24,0.8275,0,0,1
65,65,0.65,231.81436558850504,239.43795756987961,173160.14957812498,213.943223780437,139.06309545728405,13.440000000000001,0.8400000000000001,0,0,1
66,66,0.66,231.57627347077192,240.4686884027874,171360.15186328124,213.95686967003036,141.21153398222006,13.64,0.8525,0,0,1
67,67,0.67,231.41968178157137,242.27388523918322,167220.1540390625,213.97051730047977,143.36024659132147,13.9,0.86875,0,0,1
68,68,0.68,231.2900031927598,244.33482954953038,162000.15641796874,213.98416667211842,145.5092333370405,14.14,0.88375,0,0,1
69,69,0.69,231.3698549943829,248.52821405204858,157320.158703125,213.99781778527955,147.65849427184287,14.5,0.90625,0,0,1
70,70,0.7,231.4031133827634,252.32340668480234,152640.1609921875,214.01147064029644,149.80802944820752,14.760000000000002,0.9225000000000001,0,0,1
71,71,0.71,231.73111747410005,259.2200907755179,148140.1632578125,214.02512523750255,151.9578389186268,15.120000000000001,0.9450000000000001,0,0,1
72,72,0.72,231.83186690198178,263.84075715773946,146340.16557812502,214.03878157723136,154.1079227356066,15.32,0.9575,0,0,1
73,73,0.73,232.00367127076487,269.26831528913465,144540.16790234373,214.0524396598164,156.25828095166597,15.52,0.97,0,0,1
74,74,0.74,232.8197775116329,281.72520535964964,140040.17018749999,214.06609948559142,158.40891361933765,15.88,0.9925,0,0,1
75,75,0.75,233.2784044226236,290.18490180918934,138240.17257812503,214.07976105489004,160.55982079116754,16.080000000000002,1.0050000000000001,1,0,1
76,76,0.76,234.0597569584742,302.2821834027234,133020.17506250003,214.09342436804624,162.71100251971515,16.320000000000004,1.0200000000000002,1,0,1
77,77,0.77,235.16320425222185,318.1644689127535,126720.17716015625,214.10708942539387,164.86245885755326,16.580000000000005,1.0362500000000003,1,0,1
