quantile,vram_utilization_proxy,empirical_tail_pressure,barrier_fit
0.8036075949367089,0.6800317376355461,0.2545923300032227,0.17137578168381973
0.8155696202531646,0.6995834435334568,0.271105010295127,0.212542226316305
0.8275316455696203,0.7244644274001587,0.28990825688073407,0.27952810362228614
0.839493670886076,0.7281208674953716,0.3115141955835962,0.2910117233249857
0.8514556962025317,0.7461648080509145,0.33659991478483176,0.3549736895982993
0.8634177215189873,0.7751388521555144,0.366079703429101,0.4883703968808834
0.8753797468354431,0.7956323139682424,0.4012188928390047,0.6119959682735728
0.8873417721518988,0.8069293837609098,0.4438202247191014,0.6930600585850305
0.8993037974683544,0.8206823591642423,0.4965430546825895,0.8063753827093744
0.9112658227848102,0.8243850833112933,0.5634807417974325,0.839930973700467
0.9232278481012659,0.8296746892356519,0.6512778235779066,0.8903040771233811
0.9351898734177215,0.8390901877810103,0.7714843750000001,0.9875589850132975
0.9471518987341773,0.8446442740015869,0.9461077844311387,1.0498386281949779
0.959113924050633,0.8545358370801376,1.222910216718269,1.1706410783817867
0.9710759493670886,0.866120074054483,1.7286652078774631,1.3299009489464815
0.9830379746835444,0.922157368454528,2.9477611940298623,2.464837310246123
0.995,1.0498280878074584,9.999999999999991,10.0532503731968
