node,gmt_create,predict_type,exec_time_seconds_trace,prompt_length_trace,num_inference_steps_trace,num_lora_trace,e_loc_assumed_mapped,e_tx_assumed_mapped,equilibrium_strategy,social_optimum_strategy
76,2024-12-06 00:40:35,TXT_2_IMG,10.0,21.0,30.0,0,1.4,0.192,0,0
77,2024-12-06 00:40:44,TXT_2_IMG,10.0,25.0,30.0,0,1.4,0.19999999999999998,0,0
78,2024-12-06 00:40:58,TXT_2_IMG,9.0,19.0,30.0,0,1.3,0.188,0,0
79,2024-12-06 00:41:04,TXT_2_IMG,12.0,33.0,30.0,0,1.6,0.216,1,0
80,2024-12-06 00:41:10,TXT_2_IMG,12.0,24.0,30.0,0,1.6,0.198,1,0
81,2024-12-06 00:41:41,TXT_2_IMG,11.0,32.0,30.0,0,1.5,0.214,1,0
82,2024-12-06 00:41:41,TXT_2_IMG,20.0,65.0,30.0,0,2.4,0.28,1,1
83,2024-12-06 00:42:39,INPAINTING,46.0,4.0,30.0,0,5.0,0.158,1,1
84,2024-12-06 00:45:50,TXT_2_IMG,15.0,57.0,30.0,0,1.9,0.264,1,1
85,2024-12-06 00:46:33,INPAINTING,26.0,4.0,30.0,0,3.0,0.158,1,1
86,2024-12-06 00:46:54,TXT_2_IMG,14.0,53.0,30.0,0,1.8000000000000003,0.256,1,0
87,2024-12-06 00:47:29,TXT_2_IMG,6.0,48.0,30.0,0,1.0,0.246,0,0
88,2024-12-06 00:47:59,TXT_2_IMG,27.0,61.0,30.0,0,3.1,0.272,1,1
89,2024-12-06 00:49:13,TXT_2_IMG,29.0,46.0,30.0,0,3.3000000000000003,0.242,1,1
90,2024-12-06 00:50:48,TXT_2_IMG,15.0,67.0,30.0,0,1.9,0.284,1,0
91,2024-12-06 00:54:09,IMG_2_IMG,22.0,41.0,40.0,0,2.6,0.23199999999999998,1,1
92,2024-12-06 00:55:17,IMG_2_IMG,26.0,41.0,40.0,0,3.0,0.23199999999999998,1,1
93,2024-12-06 00:55:22,TXT_2_IMG,21.0,57.0,30.0,0,2.5,0.264,1,1
94,2024-12-06 00:56:09,IMG_2_IMG,13.0,41.0,40.0,0,1.7000000000000002,0.23199999999999998,1,0
95,2024-12-06 00:57:06,TXT_2_IMG,56.0,17.0,30.0,1,6.000000000000001,0.184,1,1
96,2024-12-06 00:57:37,TXT_2_IMG,10.0,43.0,30.0,0,1.4,0.236,0,0
97,2024-12-06 00:58:14,TXT_2_IMG,21.0,52.0,30.0,0,2.5,0.254,1,1
98,2024-12-06 00:59:39,TXT_2_IMG,12.0,44.0,30.0,0,1.6,0.238,1,0
99,2024-12-06 00:59:55,TXT_2_IMG,53.0,61.0,30.0,0,5.700000000000001,0.272,1,1
